"STEPHENS" "ECR" "ECR-ITERATIVE-1"
"z.1145" 9 9 9
"z.1146" 2 2 2
"z.1147" 9 9 9
"z.1148" 9 9 9
"z.1149" 5 5 5
"z.1150" 2 2 2
"z.1151" 1 1 1
"z.1152" 1 1 1
"z.1153" 4 4 4
"z.1154" 1 1 1
"z.1155" 2 2 2
"z.1156" 2 2 2
"z.1157" 2 2 2
"z.1158" 1 1 1
"z.1159" 4 4 4
"z.1160" 1 1 1
"z.1161" 1 1 1
"z.1162" 9 9 9
"z.1163" 9 9 9
"z.1164" 9 9 9
"z.1165" 9 9 9
"z.1166" 9 9 9
"z.1167" 9 9 9
"z.1168" 1 1 1
"z.1169" 9 9 9
"z.1170" 1 1 1
"z.1171" 2 2 2
"z.1172" 9 9 9
"z.1173" 2 2 2
"z.1174" 1 1 1
"z.1175" 9 9 9
"z.1176" 1 1 1
"z.1177" 9 9 9
"z.1178" 9 9 9
"z.1179" 2 2 2
"z.1180" 9 9 9
"z.1181" 2 2 2
"z.1182" 2 2 2
"z.1183" 2 2 2
"z.1184" 1 1 1
"z.1185" 1 1 1
"z.1186" 1 1 1
"z.1187" 1 1 1
"z.1188" 8 8 8
"z.1189" 2 2 2
"z.1190" 9 9 9
"z.1191" 1 1 1
"z.1192" 2 2 2
"z.1193" 2 2 2
"z.1194" 1 1 1
"z.1195" 2 2 2
"z.1196" 1 1 1
"z.1197" 1 1 1
"z.1198" 1 1 1
"z.1199" 1 1 1
"z.1200" 1 1 1
"z.1201" 1 1 1
"z.1202" 1 1 1
"z.1203" 4 4 4
"z.1204" 1 1 1
"z.1205" 1 1 1
"z.1206" 1 1 1
"z.1207" 1 1 1
"z.1208" 2 2 2
"z.1209" 2 2 2
"z.1210" 1 1 1
"z.1211" 1 1 1
"z.1212" 1 1 1
"z.1213" 1 1 1
"z.1214" 1 1 1
"z.1215" 1 1 1
"z.1216" 1 1 1
"z.1217" 1 1 1
"z.1218" 1 1 1
"z.1219" 1 1 1
"z.1220" 1 1 1
"z.1221" 1 1 1
"z.1222" 1 1 1
"z.1223" 1 1 1
"z.1224" 1 1 1
"z.1225" 1 1 1
"z.1226" 1 1 1
"z.1227" 1 1 1
"z.1228" 1 1 1
"z.1229" 4 4 4
"z.1230" 2 2 2
"z.1231" 9 9 9
"z.1232" 1 1 1
"z.1233" 1 1 1
"z.1234" 2 2 2
"z.1235" 1 1 1
"z.1236" 1 1 1
"z.1237" 1 1 1
"z.1238" 2 2 2
"z.1239" 4 4 4
"z.1240" 8 8 8
"z.1241" 1 1 1
"z.1242" 2 2 2
"z.1243" 8 8 8
"z.1244" 1 1 1
"z.1245" 5 5 5
"z.1246" 9 9 9
"z.1247" 7 7 7
"z.1248" 9 9 9
"z.1249" 7 7 7
"z.1250" 2 2 2
"z.1251" 2 2 2
"z.1252" 9 9 9
"z.1253" 1 1 1
"z.1254" 9 9 9
"z.1255" 2 2 2
"z.1256" 7 7 7
"z.1257" 7 7 7
"z.1258" 5 5 5
"z.1259" 7 7 7
"z.1260" 9 9 9
"z.1261" 2 2 2
"z.1262" 4 4 4
"z.1263" 5 5 5
"z.1264" 1 1 1
"z.1265" 1 1 1
"z.1266" 1 1 1
"z.1267" 2 2 2
"z.1268" 1 1 1
"z.1269" 1 1 1
"z.1270" 1 1 1
"z.1271" 1 1 1
"z.1272" 2 2 2
"z.1273" 2 2 2
"z.1274" 1 1 1
"z.1275" 1 1 1
"z.1276" 1 1 1
"z.1277" 1 1 1
"z.1278" 1 1 1
"z.1279" 1 1 1
"z.1280" 4 4 4
"z.1281" 1 1 1
"z.1282" 2 2 2
"z.1283" 4 4 4
"z.1284" 1 1 1
"z.1285" 1 1 1
"z.1286" 1 1 1
"z.1287" 1 1 1
"z.1288" 2 2 2
"z.1289" 9 9 9
"z.1290" 3 3 3
"z.1291" 4 4 4
"z.1292" 2 2 2
"z.1293" 1 1 1
"z.1294" 1 1 1
"z.1295" 1 1 1
"z.1296" 7 7 7
"z.1297" 1 1 1
"z.1298" 7 7 7
"z.1299" 7 7 7
"z.1300" 9 9 9
"z.1301" 1 1 1
"z.1302" 1 1 1
"z.1303" 1 1 1
"z.1304" 9 9 9
"z.1305" 1 1 1
"z.1306" 6 6 6
"z.1307" 5 5 5
"z.1308" 6 6 6
"z.1309" 6 6 6
"z.1310" 8 8 8
"z.1311" 6 6 6
"z.1312" 8 8 8
"z.1313" 7 7 7
"z.1314" 6 6 6
"z.1315" 3 3 3
"z.1316" 6 6 6
"z.1317" 1 1 1
"z.1318" 1 1 1
"z.1319" 6 6 6
"z.1320" 4 4 4
"z.1321" 3 3 3
"z.1322" 3 3 3
"z.1323" 6 6 6
"z.1324" 6 6 6
"z.1325" 1 1 1
"z.1326" 3 3 3
"z.1327" 8 8 8
"z.1328" 1 1 1
"z.1329" 1 1 1
"z.1330" 1 1 1
"z.1331" 1 1 1
"z.1332" 6 6 6
"z.1333" 6 6 6
"z.1334" 8 8 8
"z.1335" 1 1 1
"z.1336" 1 1 1
"z.1337" 1 1 1
"z.1338" 1 1 1
"z.1339" 4 4 4
"z.1340" 3 3 3
"z.1341" 8 8 8
"z.1342" 7 7 7
"z.1343" 8 8 8
"z.1344" 7 7 7
"z.1345" 6 6 6
"z.1346" 4 4 4
"z.1347" 4 4 4
"z.1348" 7 7 7
"z.1349" 7 7 7
"z.1350" 7 7 7
"z.1351" 7 7 7
"z.1352" 3 3 3
"z.1353" 3 3 3
"z.1354" 3 3 3
"z.1355" 3 3 3
"z.1356" 6 6 6
"z.1357" 1 1 1
"z.1358" 8 8 8
"z.1359" 1 1 1
"z.1360" 7 7 7
"z.1361" 7 7 7
"z.1362" 7 7 7
"z.1363" 7 7 7
"z.1364" 7 7 7
"z.1365" 8 8 8
"z.1366" 7 7 7
"z.1367" 6 6 6
"z.1368" 5 5 5
"z.1369" 1 1 1
"z.1370" 1 1 1
"z.1371" 4 4 4
"z.1372" 1 1 1
"z.1373" 7 7 7
"z.1374" 5 5 5
"z.1375" 5 5 5
"z.1376" 7 7 7
"z.1377" 2 2 2
"z.1378" 8 8 8
"z.1379" 6 6 6
"z.1380" 4 4 4
"z.1381" 1 1 1
"z.1382" 9 9 9
"z.1383" 1 1 1
"z.1384" 1 1 1
"z.1385" 1 1 1
"z.1386" 1 1 1
"z.1387" 1 1 1
"z.1388" 1 1 1
"z.1389" 9 9 9
"z.1390" 1 1 1
"z.1391" 1 1 1
"z.1392" 1 1 1
"z.1393" 2 2 2
"z.1394" 2 2 2
"z.1395" 4 4 4
"z.1396" 4 4 4
"z.1397" 1 1 1
"z.1398" 6 6 6
"z.1399" 4 4 4
"z.1400" 1 1 1
"z.1401" 2 2 2
"z.1402" 1 1 1
"z.1403" 1 1 1
"z.1404" 5 5 5
"z.1405" 6 6 6
"z.1406" 1 1 1
"z.1407" 1 1 1
"z.1408" 1 1 1
"z.1409" 6 6 6
"z.1410" 6 6 6
"z.1411" 8 8 8
"z.1412" 6 6 6
"z.1413" 3 3 3
"z.1414" 3 3 3
"z.1415" 6 6 6
"z.1416" 3 3 3
"z.1417" 8 8 8
"z.1418" 8 8 8
"z.1419" 1 1 1
"z.1420" 8 8 8
"z.1421" 9 9 9
"z.1422" 7 7 7
"z.1423" 5 5 5
"z.1424" 9 9 9
"z.1425" 5 5 5
"z.1426" 5 5 5
"z.1427" 5 5 5
"z.1428" 7 7 7
"z.1429" 7 7 7
"z.1430" 7 7 7
"z.1431" 9 9 9
"z.1432" 5 5 5
"z.1433" 7 7 7
"z.1434" 9 9 9
"z.1435" 7 7 7
"z.1436" 9 9 9
"z.1437" 7 7 7
"z.1438" 7 7 7
"z.1439" 5 5 5
"z.1440" 4 4 4
"z.1441" 1 1 1
"z.1442" 4 4 4
"z.1443" 5 5 5
"z.1444" 7 7 7
"z.1445" 3 3 3
"z.1446" 4 4 4
"z.1447" 8 8 8
"z.1448" 3 3 3
"z.1449" 4 4 4
"z.1450" 4 4 4
"z.1451" 5 5 5
"z.1452" 6 6 6
"z.1453" 7 7 7
"z.1454" 7 7 7
"z.1455" 7 7 7
"z.1456" 6 6 6
"z.1457" 6 6 6
"z.1458" 8 8 8
"z.1459" 1 1 1
"z.1460" 1 1 1
"z.1461" 4 4 4
"z.1462" 4 4 4
"z.1463" 8 8 8
"z.1464" 3 3 3
"z.1465" 5 5 5
"z.1466" 4 4 4
"z.1467" 1 1 1
"z.1468" 1 1 1
"z.1469" 6 6 6
"z.1470" 4 4 4
"z.1471" 7 7 7
"z.1472" 5 5 5
"z.1473" 3 3 3
"z.1474" 6 6 6
"z.1475" 6 6 6
"z.1476" 9 9 9
"z.1477" 5 5 5
"z.1478" 7 7 7
