"STEPHENS" "ECR" "ECR-ITERATIVE-1"
"z.265" 2 2 2
"z.266" 1 1 1
"z.267" 3 3 3
"z.268" 6 6 6
"z.269" 1 1 1
"z.270" 6 6 6
"z.271" 8 8 8
"z.272" 7 7 7
"z.273" 7 7 7
"z.274" 8 8 8
"z.275" 3 3 3
"z.276" 1 1 1
"z.277" 5 5 5
"z.278" 3 3 3
"z.279" 4 4 4
"z.280" 1 1 1
"z.281" 1 1 1
"z.282" 1 1 1
"z.283" 6 6 6
"z.284" 9 9 9
"z.285" 5 5 5
"z.286" 9 9 9
"z.287" 7 7 7
"z.288" 5 5 5
"z.289" 7 7 7
"z.290" 7 7 7
"z.291" 5 5 5
"z.292" 5 5 5
"z.293" 7 7 7
"z.294" 9 9 9
"z.295" 9 9 9
"z.296" 5 5 5
"z.297" 1 1 1
"z.298" 2 2 2
"z.299" 7 7 7
"z.300" 5 5 5
"z.301" 7 7 7
"z.302" 9 9 9
"z.303" 5 5 5
"z.304" 7 7 7
"z.305" 5 5 5
"z.306" 4 4 4
"z.307" 1 1 1
"z.308" 1 1 1
"z.309" 4 4 4
"z.310" 5 5 5
"z.311" 3 3 3
"z.312" 5 5 5
"z.313" 7 7 7
"z.314" 5 5 5
"z.315" 9 9 9
"z.316" 7 7 7
"z.317" 1 1 1
"z.318" 1 1 1
"z.319" 2 2 2
"z.320" 2 2 2
"z.321" 2 2 2
"z.322" 1 1 1
"z.323" 1 1 1
"z.324" 1 1 1
"z.325" 1 1 1
"z.326" 2 2 2
"z.327" 1 1 1
"z.328" 1 1 1
"z.329" 2 2 2
"z.330" 1 1 1
"z.331" 1 1 1
"z.332" 1 1 1
"z.333" 1 1 1
"z.334" 4 4 4
"z.335" 1 1 1
"z.336" 7 7 7
"z.337" 6 6 6
"z.338" 7 7 7
"z.339" 1 1 1
"z.340" 1 1 1
"z.341" 6 6 6
"z.342" 6 6 6
"z.343" 6 6 6
"z.344" 8 8 8
"z.345" 7 7 7
"z.346" 9 9 9
"z.347" 5 5 5
"z.348" 9 9 9
"z.349" 7 7 7
"z.350" 7 7 7
"z.351" 7 7 7
"z.352" 5 5 5
"z.353" 9 9 9
"z.354" 7 7 7
"z.355" 7 7 7
"z.356" 7 7 7
"z.357" 7 7 7
"z.358" 7 7 7
"z.359" 1 1 1
"z.360" 1 1 1
"z.361" 3 3 3
"z.362" 3 3 3
"z.363" 8 8 8
"z.364" 5 5 5
"z.365" 5 5 5
"z.366" 1 1 1
"z.367" 4 4 4
"z.368" 1 1 1
"z.369" 4 4 4
"z.370" 4 4 4
"z.371" 7 7 7
"z.372" 9 9 9
"z.373" 5 5 5
"z.374" 7 7 7
"z.375" 7 7 7
"z.376" 7 7 7
"z.377" 7 7 7
"z.378" 5 5 5
"z.379" 9 9 9
"z.380" 5 5 5
"z.381" 3 3 3
"z.382" 4 4 4
"z.383" 6 6 6
"z.384" 5 5 5
"z.385" 5 5 5
"z.386" 9 9 9
"z.387" 5 5 5
"z.388" 7 7 7
"z.389" 3 3 3
"z.390" 9 9 9
"z.391" 6 6 6
"z.392" 3 3 3
"z.393" 7 7 7
"z.394" 6 6 6
"z.395" 6 6 6
"z.396" 6 6 6
"z.397" 5 5 5
"z.398" 1 1 1
"z.399" 6 6 6
"z.400" 9 9 9
"z.401" 5 5 5
"z.402" 6 6 6
"z.403" 6 6 6
"z.404" 4 4 4
"z.405" 1 1 1
"z.406" 1 1 1
"z.407" 5 5 5
"z.408" 6 6 6
"z.409" 1 1 1
"z.410" 1 1 1
"z.411" 8 8 8
"z.412" 6 6 6
"z.413" 4 4 4
"z.414" 1 1 1
"z.415" 1 1 1
"z.416" 2 2 2
"z.417" 2 2 2
"z.418" 2 2 2
"z.419" 2 2 2
"z.420" 1 1 1
"z.421" 2 2 2
"z.422" 1 1 1
"z.423" 1 1 1
"z.424" 1 1 1
"z.425" 1 1 1
"z.426" 8 8 8
"z.427" 1 1 1
"z.428" 6 6 6
"z.429" 6 6 6
"z.430" 1 1 1
"z.431" 6 6 6
"z.432" 3 3 3
"z.433" 1 1 1
"z.434" 1 1 1
"z.435" 2 2 2
"z.436" 1 1 1
"z.437" 1 1 1
"z.438" 2 2 2
"z.439" 2 2 2
"z.440" 1 1 1
"z.441" 1 1 1
"z.442" 8 8 8
"z.443" 6 6 6
"z.444" 1 1 1
"z.445" 6 6 6
"z.446" 6 6 6
"z.447" 5 5 5
"z.448" 6 6 6
"z.449" 1 1 1
"z.450" 8 8 8
"z.451" 8 8 8
"z.452" 8 8 8
"z.453" 4 4 4
"z.454" 8 8 8
"z.455" 1 1 1
"z.456" 1 1 1
"z.457" 1 1 1
"z.458" 1 1 1
"z.459" 1 1 1
"z.460" 1 1 1
"z.461" 1 1 1
"z.462" 8 8 8
"z.463" 2 2 2
"z.464" 6 6 6
"z.465" 2 2 2
"z.466" 1 1 1
"z.467" 2 2 2
"z.468" 1 1 1
"z.469" 1 1 1
"z.470" 5 5 5
"z.471" 1 1 1
"z.472" 1 1 1
"z.473" 8 8 8
"z.474" 4 4 4
